beginOffset,content,magnitude,score
2597,物足りないかな。,0.7,-0.7
2621,配線の接続とか不慣れな方にはこの説明書の内容では無理があるかと思う。,0.4,-0.4
2723,まぁ仕方ないのかな?,0.0,0.0
2751,マイクの不具合あり。,0.9,-0.9
2781,リモートワークとプライベート兼用に、マイク付きで音楽や映画にも向いているヘッドホンを探してました。,0.4,0.4
2928,結果的にはコスパがとてもよく購入して大正解。,0.5,0.5
2994,リモートワーク時はマイク付きコードをセットし、映画や音楽鑑賞時は、邪魔にならないマイク無しケーブルに差替えられるタイプなのでとても重宝。,0.9,0.9
3198,音もモニター内蔵スピーカー以上に良く低音も含め音の良さは普段使いには十分。1日連続6時間装着とかありますが、耳あては疲れにくく良いです。,0.9,0.9
3398,テレワーク用で購入。2か月くらいでマイク側端子が不良となったが、迅速に交換してもらいました。,0.9,0.9
3534,音は問題なく、非常にクリアです。,0.8,0.8
3582,マイクも今のところ相手先から聴こえにくいとの指摘はなし。,0.6,-0.6
3666,ただ、ヘッドセット自体がきつく、長時間の使用は厳しい。,0.7,-0.7
3747,商品に関しては以上だが、配送に問題あり。,0.6,-0.6
3807,今回の配送はamazon専属の配送でした。,0.1,-0.1
3858,配達時に配達先の所在が住所から見つける事ができなかったようで、何度か電話が入ってました。,0.6,-0.6
3990,ただ、着信時に仕事で重要な会議中だった為、電話を取ることが出来ませんでした。,0.7,-0.7
4104,ドライバーは何とか所在を見つけ出し無事に配達してもらったが、その際に何故電話に出ないのか?,0.5,-0.5
4237,出てもらわないと困ると強い口調で言われ、仕事中なので出れないこともある旨伝えると、いや、次からは何があろうと出てくださいと。,0.5,-0.5
4423,運転中でもですか?,0.0,0.0
4448,仕事上、電話を常に携帯出来ないケースもありますよね?,0.3,-0.3
4524,amazonの運送業者の対応と態度が最悪でした。,0.8,-0.8
4584,ドライバーの指導をもう少ししっかりとした方がよいですよ、amazonさん。,0.6,-0.6
4683,高音域が強く低音域が弱いですね。,0.8,-0.8
4731,あと、頭も顔も大きい訳じゃないのですが、圧迫で直ぐ耳が痛くなりました。,0.8,-0.8
4836,まず、耐久性に難があると思います。,0.8,-0.8
4887,ひょっとすると僕に届いたのがハズレだったのかもしれませんが、大体7ヶ月で壊れました。,0.8,-0.8
5011,使っていた時間がほぼ毎日27時間ほどだったということもあると思いますが、残念ですね壊れたところはスピーカー部が回るジョイントが割れました。,0.8,-0.8
5214,普通に机にトンとおいたらパキッ!,0.1,0.1
5260,と言ってお逝きになりました。,0.0,0.0
5302,もう分解してしまったので保証は効かないだろうと諦め、diyしてなんとか修理しました。,0.3,-0.3
5422,ラッキーなことに断線はしてなかったので使えてます。,0.9,0.9
5497,まあ、音に対しても評価しておきますね。,0.2,0.2
5554,一応音質はクリアだと思います。,0.5,0.5
5599,はっきりと低域、中域、高域と音が聞きやすい感じがしました。,0.8,0.8
5686,ズンズンと痛い低音ではなく、クリアな低音です。,0.5,0.5
5755,正直参考にならない馬鹿耳なので、へーと思っていただけたら幸いです。,0.1,-0.1
5854,まーこの音質なら良いイヤホンに負けてますねヘッドホンならもっと頑張ってと言えますよ自分好みの音ですが、満足いく人は少ないかもしれないですあと、ゲームにはあまり向いてないです。,0.0,0.0
6115,ステレオなのでfpsとかだと音の前後がわからないです。,0.3,-0.3
6190,ゲーム用と言っても音の前後関係ないゲームならいいんじゃないでしょうか?,0.3,-0.3
6293,色々グダグダ言いましたが、総評するとおすすめはしませんヘッドホンとするなら物足りないし、壊れるし音は好みなのでなんとも言えませんが音には満足してます。,0.4,0.4
6518,ですが、やっぱ壊れたのは残念ですねなんか箱も届いたときビミョーに汚かったし、バラしたときに出てきたアームのバネは錆びてたし品質的には疑ってしまいます。,0.7,-0.7
6743,この商品を買うなら他の有名メーカーの物を買うことをおすすめしたいです。,0.5,-0.5
6848,こんなことがあったらアマゾンに出てる無名な物は買えないかもしれないですこの商品を買おう!,0.3,0.3
6978,と思っている方は一度考え直す方がいいと思います。,0.4,-0.4
7050,長々と長文失礼しました。,0.4,-0.4
7086,僕が使ったときはマイクの音量がとても小さかったです。,0.0,0.0
7164,口の前においても絶望的にマイクの音が小さいです。,0.8,-0.8
7236,特に問題なく使用。,0.9,0.9
7263,音質の面は私はかなりいい方だと思います。,0.9,0.9
7323,低音も響いていて、すごく聞き取りやすいと感じました。,0.9,0.9
7401,説明文を書く時も分かり易かったです。,0.0,0.0
7455,あと、私はこの軽さを推したいです。,0.8,0.8
7506,ヘッドホンをつけると結構すぐ頭と首が痛くなってしまうのですが、軽いので、私でも安心してつけられました。,0.9,0.9
7659,音が非常に聞こえにくいです。,0.9,-0.9
7701,ボリューム最大にするとマイクのボリュームが上がり過ぎる様です。fpsオンラインゲームでの使用のために購入、音質は普通にいいですね使えます。,0.7,0.7
7902,普段使いも音質に関しては良いのではないでしょうか?,0.4,0.4
7975,装着感は最初きつめだったけど5日ほどで徐々にちょうどいいくらいになりましたマイクのほうですがこれは普通かと、といってもかなり使える部類だと思います。,0.9,0.9
8195,この価格でこのレベルの商品なら十分購入価値はある感じました。,0.9,0.9
8285,参考になると幸いです。,0.9,0.9
8318,顔が小さな女性にはいいかもしれないが、少し男性には耳が痛くなるかもしれない。,0.6,-0.6
8432,私はノーマルな頭です。,0.1,-0.1
8465,けっきょく利用せず。,0.9,-0.9
8495,使用して1か月くらいでマイクが使えなくなりました。,0.8,-0.8
8568,以上。,0.0,0.0
8577,ばねが強めで長時間の装着は難しいです。,0.7,-0.7
8634,テレワークに必要だったので購入しました。,0.2,0.2
8694,実は、最初はbluetooth接続のものを使っていたのですが、不具合続出。,0.5,-0.5
8787,で、こちらの有線版に乗り換えたのですが、大正解でした。,0.4,-0.4
8868,トラブルもなくなり、快適に使ってます。,0.9,0.9
8925,マイクも自由に位置を変えられて重宝してます。,0.9,0.9
8991,まあ、もう少し軽くなればさらに良し、ですけど。,0.3,-0.3
9060,スマホでゲーム。,0.0,0.0
9084,パソコンでディスコをするために購入。,0.0,0.0
9138,しっかり通話しながらゲームができます。6mm?,0.5,0.5
9199,長い方はたまに金属系のノイズが入るので頭は痛くなりますが、これでスマホの電池がもちやすくなったので満足です。,0.9,0.9
9361,マイクの向きが口の方を向い無かったり、ヘッドホン部が部品破損で半年も経たずに使えなく成ってしまったり作りに雑さがみれます。,0.8,-0.8
9544,またコイルコードで1m伸びると書いてありますが、繋ぐ機械に依りますが60cm位を考えておいた方が良いと思います。,0.0,0.0
9700,この値段で音質は期待以上のものでした。,0.3,0.3
9757,が、マイクが1週間で壊れました。,0.8,-0.8
9803,面倒くさいし仕方がないのでマイク無しで使うにしました。,0.4,-0.4
9884,ゲーム用に購入しました。,0.0,0.0
9920,音はすごくいいしボイスチャットもすごくクリアに聞こえますしこちらの声もよく聞こえるようです。,0.8,0.8
10058,長時間使用していると右耳が痛くなるのがとても残念です。,0.9,-0.9
10139,私はathm20xを使用していましたが破損してしまったので、代わりのヘッドフォンとしてこの商品を購入しました。,0.2,0.2
10290,商品が届き、最初に聞いた時から音にすごい違和感を感じました。,0.8,-0.8
10380,私は音響にくわしいわけではないので、あくまで私が感じたレビューです。,0.2,-0.2
10482,私には音が非常にこもって聞こえます。,0.6,-0.6
10536,中音域から高音域の音はクリアに聞こえますが、低音域が不自然に増幅されていてクリアではないです。,0.4,-0.4
10677,他の方のレビューを見て思ったのですが、低音がカットされ増幅されているのではないかと思います。,0.4,-0.4
10815,また、大きさに関して他の方もレビューされているように、長さに余裕がなく小さいかなと思います。2つの音が同時に聞ける、ステレオケーブルが2本ついている、マイクもついているなど、機能的にはおもしろいのですが、肝心の音質が私には合わないので、残念ですがもう使うことはないと思います。,0.7,-0.7
11225,素直にathm20xを買っておけばよかった、、、。,0.4,-0.4
11286,他と聞き比べてみて、全体的に高音域が抑えられており、かといって低音域も音像感が乏しい。,0.6,0.6
11415,全体的にこもったような音質です。,0.0,0.0
11463,ゲーム用で使ってますが、長時間してると顔が大きいせいか、耳が少し痛くなりました。,0.8,-0.8
11583,他は問題無しです。,0.0,0.0
11610,会社のzoom会議で1ヶ月使用。,0.2,-0.2
11648,会議の最中に壊れました。,0.7,-0.7
11684,見た目はいいけど耐久性は無かったです。,0.7,-0.7
11741,とくになし。,0.5,-0.5
11759,ケーブルが外れるのでカタズケやすい。,0.8,0.8
11813,音も値段相応の感じで悪くない。,0.7,0.7
11858,左側にもケーブルがさせるのでここから録音機にマイクを通さずに接続でき余計な音が入らないので大変良い。,0.9,0.9
12008,保証期間の30日がすぎてから届いてすぐ使い始めたわけではないので利用自体は1カ月未満です充電されなくなりましたお値段は安いですが、使用して1カ月未満で使えなくなるとなるとコストパフォーマンスは悪いと言わざるえません。,0.6,-0.6
12324,若干、マイクの音を拾うレベルが低い感じですが、まぁまぁ値段相応かと思います。,0.5,-0.5
12438,レビュー後良かったので購入しましたが、個人的には期待したほどではなかったです。,0.8,-0.8
12555,現在、楽天で1650円で購入したpanasonic製の安物ヘッドホン安い割には音が結構いいを使用しています。,0.7,0.7
12691,コロナ騒動で自宅でのtv会議が頻繁になったので、amazonでマイク付きのヘッドホンを探していて、この商品を見つけました。,0.6,0.6
12858,気に入った点は、マイクがケーブルごと脱着可能でマイク無しケーブルも使える点。,0.5,0.5
12972,殆どのマイク付きヘッドホンはゲーム用に設計されていてマイクが外せず、tv会議以外の音楽鑑賞、映画鑑賞用途ではマイクが邪魔なので、本商品のマイク脱着ができる点が購入の決め手になりました。,0.1,-0.1
13244,また、商品レビューの評価点が全般的に高く、デザインも落ち着いた感じで高級感があったのも好印象で購入の動機付けになりました。,0.9,0.9
13427,商品が届き使用してみたので即刻レビューします。,0.3,0.3
13496,装着感まず、ヘッドホンの装着感ですが、イヤーパッドが耳たぶに当たるのが非常に残念。,0.8,-0.8
13619,パッドが柔らかいので耳が痛いというところまではいきませんが、耳たぶが常にパッドに押されているという感覚がマイナス評価になります。,0.5,-0.5
13811,原因は、イヤーパッドの位置が最適位置まで下がらず、耳たぶを圧迫するためです。,0.1,-0.1
13925,ヘッドバンドを上から手で押さえてパッドの位置を強制的に5mm程度下げると耳の当たり具合が丁度良い感じになるのですが、手を離すと当然ながらパッドの位置がせり上がり、また耳たぶを圧迫します。panasonicのヘッドホンとoneodioのヘッドホンでイヤーパッドの位置を比較したところ、panasonicのヘッドホンはoneodioのヘッドホンに比べて約1cm程下方までパッドが下がることが分かりました。panasonicに比べ、oneodioのヘッドホンは、イヤーパッドの可動範囲が狭いことが分かります。,0.1,-0.1
14570,イヤーパッドが耳たぶを挟まないところまで下げて使うことに慣れている方には、oneodioのヘッドホンの装着感は、私の様に違和感を感じるかも知れません。,0.4,-0.4
14781,イヤーパッドの可動範囲に少し余裕を持たせて、もう少し下方まで調節できるように設計にして欲しかったです。,0.7,-0.7
14934,ちなみに、自分は頭が大きい訳では無く、耳たぶの位置も正常。,0.4,0.4
15021,他の方は、耳たぶが圧迫されないのでしょうか?,0.2,-0.2
15085,レビューの中には1名を除き、この指摘は出て来ません音質評価次に音質についてです。,0.6,-0.6
15203,購入後、直ぐに音を聞いたときには正直ガッカリしましたが、1日音を鳴らし続けてエージングしたところ、音質が劇的に良くなりました。,0.4,0.4
15390,スピーカーとは違い、ヘッドホンのエージング効果は疑問視されていますが、oneodioのヘッドホンでは明らかにエージング効果がある様です。,0.4,0.4
15580,自分はオーディオ全盛期のオーディオマニアで音にはうるさい方なので、この差は大きいです。,0.5,-0.5
15709,購入当初のレビューには、panasonic製の安物ヘッドホンの音質の方が数段格上ですと書いたのですが、エージング後はoneodioのヘッドホンの評価が上がりましたのでレビューを書き換えました。,0.2,-0.2
15965,音質評価の前に、panasonicとoneodioのヘッドホンの音響仕様比較をしておきます。,0.0,0.0
16071,ユニットマグネットドライバは何れも直径40mm、インピーダンスは共に32ω、音圧感度はpanasonicが102dbw、oneodioが110dbw3db、周波数帯域がpanasonicが1027khz、oneodioが2020khzとなっています。,0.0,0.0
16311,若干の違いはありますが、仕様レベルではほぼ同じと考えて良いでしょう。,0.5,0.5
16413,インピーダンスが同じなので音量も同じくらいに聞こえます。,0.0,0.0
16497,これらの仕様で音質がきまる訳では無いので、実際の音を聞いて判断します。,0.1,-0.1
16602,なお、ヘッドホンは音を聞くための商品なので、webでの商品紹介欄にも、最低、これらの音響基本仕様は記載しておいて欲しいものです商品同梱の取説には記載がありますが、web上での表記がありません。,0.5,-0.5
16878,次に、実際の音を聞いての音質評価です。,0.0,0.0
16935,私がよく聞く、ピアノソロ、ギターソロ、クラシック音楽、女性ボーカル、amazonprimeでの映画視聴、youtubeなどを音源として、panasonicのヘッドホンと聞き比べました。,0.2,0.2
17157,購入直後に聞いた時は、いずれの音源もpanasonicのヘッドホンの方が圧倒的に格上の音質でしたが、エージング後は甲乙つけがたいところまでoneodioのヘッドホンの音質が改善しました。,0.4,0.4
17404,以下は、音質についての私の感想です音をどう感じるかは個人差があるので、あくまで参考として。1購入当初エージング前中低音特に中音域が痩せていて厚みがなく、音が硬い。,0.6,-0.6
17645,その割に高音域がややシャリシャリしていて耳障り。,0.6,-0.6
17717,中音域が痩せている分、余計に高音域のシャリシャリ感が強調されている感じです。,0.2,-0.2
17831,ピアノソロもギターソロもクラシック音楽もボーカルも、一番重要な音の余韻が無く、音楽の感動が伝わってきません。,0.5,-0.5
17993,ボーカルやドラムがカーテン一枚隔てたように後ろに引っ込んでしまってどうもスッキリしないと表現している3つのレビューがありましたが、まさしくそんな感じです。,0.5,-0.5
18222,生理的に、長時間は聞いていられない音です。2エージング後痩せていた中低音の厚みが出てきて、硬さも取れました。,0.0,0.0
18382,高音域のシャリシャリ感も収まって耳障りではなくなりました。,0.2,0.2
18469,ピアノソロもギターソロもクラシック音楽もボーカルも、音の余韻が残り、音楽の感動が伝わるようになります。panasonicのヘッドホンは中音域が強調される傾向にありますが、oneodioのヘッドホンは低音から高音までフラットな感じがします。,0.6,0.6
18794,後は好みの問題になるので何とも言えませんが、oneodioのヘッドホンはエージングにより格段に音が良くなることだけは確かです。oneodioのヘッドホンを購入直後に音が硬い、中音域が痩せている、高音域がシャリシャリしていると感じた方は、しばらく音楽を流し続けてエージングしてみて下さい。,0.0,0.0
19195,半日1日エージングしただけでも音が劇的に良くなるはずです。,0.5,0.5
19280,今回は接続先がpciphoneであり、高級オーディオに接続して究極の音を鑑賞するわけではないので、数千円のヘッドホンで十分です。,0.4,0.4
19456,この金額のヘッドホンとしてはoneodioのヘッドホンは十分合格点だと思います。,0.9,0.9
19562,マイクロホン接続方法最後に、マイクロホンの接続について記述します。,0.0,0.0
19661,取扱説明書には接続方法についての記載が無いため、初めて接続する方は混乱すると思います私もデスクトップpcへのマイク接続に戸惑いました。,0.5,-0.5
19858,こういった内容は取説に記載しておいて欲しいものです。1ノートpcにマイクロホンとヘッドホンの入力端子が一体化しているコンポジャック端子が採用されて場合は最近の薄型ノートpcはコンポジャック端子を採用しているケースが殆どだと思います、oneodioのヘッドホンからマイクロホン付きのコードをそのままpcのコンポジャック端子に差し込めばokです。,0.0,0.0
20339,もし、マイクロホン用入力端子とスピーカー用出力端子が別々に存在するノートpcの場合は、下記デスクトップpcへの接続方法を参照して下さい。2デスクトップpcでは、マイクロホン用の入力端子とスピーカー用の出力端子が別々に存在する場合が多いです。,0.0,0.0
20685,この場合、oneodioのヘッドホンからマイクロホン付きのコードを、まず付属の二股ケーブルに接続し、次に二股ケーブルのピンク色のジャックをpcのマイクロホン用入力端子に、緑色のジャックをスピーカー用出力端子に接続します。pc側の端子も、マイクロホン用端子がピンク色または赤色、スピーカー用端子が緑色になっているはずですから、色を合わせて接続すると間違いがないです。,0.3,0.3
21209,逆に接続すると、マイクが認識されませんので注意して下さい。3pcへのマイクロホン接続確認は、windows10の場合、コントロールパネルハードウエアとサウンドサウンド録音を選択すれば、マイクロホンが接続されていることを確認できます。,0.0,0.0
21533,マイクロホンが認識されていない場合は、マイクロホンアイコンの下に接続されていませんと表示されますが、認識されていれば既定のデバイスと表示され、アイコンの下にチェックマークレ点が表示されます。,0.1,-0.1
21818,この時、マイクロホンに向かって声を出すと、アイコンの右側にあるインジケーターが音量に従って上下しますので、マイクロホンから音を拾っていることが直接確認できます。,0.1,0.1
22058,総評購入直後は音質が悪かったので2つで一旦レビューを書きましたが、エージングで音質が改善したので4つに変更し、レビュー内容を書き換えまました。1つマイナスにしたのは、イヤーパッドの可動範囲が狭く、パッドが耳たぶに当たるからです。,0.4,0.4
22394,その他は、非常に良くできたマイク付きヘッドホンだと思います。youtubeの動画編集用に購入しました。,0.3,0.3
22533,可もなく不可もなくないといった感じです。,0.3,-0.3
22593,ほどよく耳にフィットしてiphoneの純正イヤホンよりはよく聞こえます。,0.3,0.3
22689,ゲームをするために購入しました。,0.0,0.0
22737,ゲーミング対応をしている専用のヘッドホンのためか、マイクもちゃんと脱着式であり、音も非常にリアルです。,0.9,0.9
22890,普通のイヤホンに比べて臨場感に溢れた音源で、ゲームにのめり込んでしまいます。,0.6,0.6
23004,通話用配信用に購入。,0.0,0.0
23034,ヘッドホン部分で聞いている音声が、マイクに入ってハウリングすると通話相手から指摘を受けました。,0.5,-0.5
23175,原因は分かりませんが、音漏れと同じ現象が発生するみたいです。,0.4,-0.4
23265,聞くだけなら品質は高いと思います。617追記代替品が届き、そちらは上記の音漏れが無いようでした。,0.2,-0.2
23403,対応に感謝するとともに、評価を変更させていただきました。,0.8,0.8
23487,使用一月ほどでジャックが断線仕掛けて片側から音が出なくなった追記。,0.7,-0.7
23586,レビューを書いた後に新しい商品を送っていただきました。24カ月保証だそうです。,0.3,0.3
23699,レビューから対応して頂いたので出品者様の対応はとても良いと思います。,0.9,0.9
23801,なし。web会議に使っています。,0.2,0.2
23843,聞き取り易くてとても良い商品です。,0.9,0.9
23894,ノマールのケーブルでの試聴の感想は低音が作為的でボワついて、切れ味がなくかぶりすぎでケーブルが脱着できるのでモガミ2893とカナレのプラグで自作したら全域ワイドレンジで切れ味と音離れが良くなり大成功でした。,0.2,0.2
24195,購入をお考えの方は参考にノーマルのケーブルは音質はあまり良いとは思いません。,0.5,-0.5
24309,今後の改善をお願い致します。,0.9,-0.9
24351,音質は可もなく不可もなく普通です。,0.1,-0.1
24402,音質にこだわりなく、ゲームのために安価で購入したかったのでちょうど良かったかなと思います。,0.9,0.9
24537,ただ、重くはないのにしばらく付けていると、頭部のクッションが弱いのか頭の上が痛くなってきます。,0.8,-0.8
24678,安いので仕方ないかなと言う程度です。,0.0,0.0
24732,マイク機能はまだ使っていないので評価は控えますが、製品自体は性能良いと思います。,0.6,0.6
24852,ただ、体質的なのか長時間の使用だとやはり耳が痛くなるω。,0.8,-0.8
24935,音質もよく聞こえて良かったです。,0.9,0.9
24983,正直言って、この値段じゃとあまり期待していませんでした。,0.8,-0.8
25067,思っていた以上にいい音で、ヘッドホンした際の遮蔽性もありました。190cm100の大柄で頭もそれなりに大きいですが、無理なくすっぽりと耳が納まりました。,0.8,0.8
25279,圧迫感もなくソフトで軽いし良いと思います。,0.9,0.9
25342,見た目も全然安っぽく見えません。,0.8,-0.8
25390,中音がはっきりとしていてボーカルがすっきりと聞こえてくる。,0.9,0.9
25477,声が素直に聞こえるのはとても気持ちがいい。,0.9,0.9
25540,低音も特別強調するでもなくキチンと良い具合に効いています。,0.8,0.8
25627,高音はシャリ感を抑える努力が感じられますが、やっぱり大きな高音がシャリを隠しきれてない感じがしますね。,0.2,-0.2
25780,それでも全ての音が埋もれることなくバランスよく出ています。,0.9,0.9
25867,持ち運びも便利で、タブレットなどでの映画鑑賞などにも向いていますね。,0.9,0.9
25969,この値段ならとても満足のいくヘッドホンです。。,0.7,0.7
26038,コストパフォーマンスに優れていると思います。,0.9,0.9
26104,しっかりとした感じで、高級感がありますね。,0.9,0.9
26167,音質もこの値段では十分ではないでしょうか。,0.1,0.1
26230,かなり澄んだ音で、とても聞きやすい。pcで使用中だがケーブルの長さも十分だ。,0.8,0.8
26340,たが、本体が少し小さい。,0.7,-0.7
26376,あと5mmづつ左右に伸びてくれたら星5つなのだが。φ35mmミニ変換ケーブルでデスクトップpcに接続。,0.1,-0.1
26508,音楽cd、youtube、tvdvd視聴などに使用。,0.0,0.0
26558,メカニックなデザイン。,0.3,0.3
26591,イヤーカップはフィットし、包み込まれるような装着感がとてもいい。,0.9,0.9
26687,音質は普通なのかもしれないが気に入っている。,0.8,0.8
26753,コンパクトに折り畳めて収納性がよい。,0.9,0.9
26807,箱はヘッドホンが折り畳まれポーチに包まれた状態で梱包されているのでとても小さいです。,0.7,-0.7
26933,筐体は肉厚のプラスチックと金属パーツで構成されていて折り畳み部分や回転部分のヒンジなどに強度的に不安になる点は見当たりません。,0.2,0.2
27122,装着感も悪くないですね。,0.9,0.9
27158,イヤーパッドのクッションは十分。,0.3,0.3
27206,ヘッドレストの赤い部分は気持ち幅が小さくて頭に乗っている感はありますが慣れます。,0.4,0.4
27326,音質は全体的に大人しくフラットで特に色付けはない印象。,0.5,-0.5
27407,正直、迫力はまるでないけれどクリアでボーカルも聴き取り易いです。,0.3,0.3
27503,両側に異なる大きさのジャップを備えて音声を合成できる仕様はユニークですね。,0.7,0.7
27614,ヘッドホンは大抵使い続けるとまず配線の付け根部分が断線して壊れるものなので最初から着脱式なのは安心感があっていいです。,0.9,0.9
27791,特に際立ってここが凄い!,0.9,0.9
27825,とかここはダメ!,0.8,-0.8
27847,とはなく安価ながら一通りの機能を纏め上げたのが凄い。,0.8,0.8
27925,コストパフォーマンスの高い一品です。,0.9,0.9
27979,コードが2種類ついていてコード接続用のジャックが左右についています。,0.0,0.0
28079,左右のジャックはコードのプラグの大きさが異なる物になっています。,0.1,-0.1
28175,どちらにつないでもステレオになります。,0.5,0.5
28232,両方つないでミックスしたステレオも可能でさらに一つの音源を別のヘッドホンにリレーして同じ音源を二人で聞くことも可能です。,0.3,0.3
28412,コードの一つはマイクとリモコンがついていますので小型オーディオプレーヤーのイヤホンのような機能を使うことができます。,0.6,0.6
28586,音質も低音が生きていて厚みがあります。,0.5,0.5
28643,この値段のヘッドホンで非常にコスパが良いと思いました。,0.8,0.8
28724,デザインも気にいりました。,0.8,0.8
28763,ここのところイヤホンばかりで音楽を聴いていたので耳を覆うヘッドホンで聴く音楽は広がりがありイヤホンでは実現できない音であることを思い出しました。,0.0,0.0
28979,本体にrとlの表示がないので毎回ちょっと迷います。,0.7,-0.7
29050,外側のレコード盤面みたいなデザインのプレートは、溝に汚れがたまるかも。,0.7,-0.7
29155,太い方のコードが長いのは助かります。,0.6,0.6
29209,細い方のコードは短めですがちょうどいいと思います。,0.9,0.9
29284,耳をすっぽりと覆うイヤーパッドなので遮音性は高く耳と頭に当たる部分はソフトで痛くなく、軽量で、メガネも大丈夫です。,0.9,0.9
29455,とてもコンパクトな紙箱入り、ゴム引きのような薄い黒のポーチ付きで赤と黒のツートンは写真で見るより落ち着いた印象でした。,0.9,0.9
29632,年齢性別を問わず広く好感が持てるデザインだと思います。,0.9,0.9
29713,イヤホンを受け付けない体質ですが、こちらもかなり耳の息苦しさを感じました。,0.0,0.0
29824,ボリュームを上げなくても長時間でなくても、脳と神経が疲れてしまいます。,0.5,-0.5
29929,疲れないヘッドホンは愛用しています。,0.9,0.9
29983,何がどう違うのか謎です。,0.5,-0.5
30019,気圧の変化にひどく敏感で神経過敏な人は、密閉型は合わないのかもしれません。,0.5,-0.5
30130,コストパフォーマンスに優れていると思います。,0.9,0.9
30196,しっかりとした感じで、高級感がありますね。,0.9,0.9
30259,音質もこの値段では十分ではないでしょうか。,0.1,0.1
30322,かなり澄んだ音で、とても聞きやすい。pcで使用中だがケーブルの長さも十分だ。,0.8,0.8
30432,たが、本体が少し小さい。,0.7,-0.7
30468,あと5mmづつ左右に伸びてくれたら星5つなのだが。φ35mmミニ変換ケーブルでデスクトップpcに接続。,0.1,-0.1
30600,音楽cd、youtube、tvdvd視聴などに使用。,0.0,0.0
30650,メカニックなデザイン。,0.3,0.3
30683,イヤーカップはフィットし、包み込まれるような装着感がとてもいい。,0.9,0.9
30779,音質は普通なのかもしれないが気に入っている。,0.8,0.8
30845,コンパクトに折り畳めて収納性がよい。,0.9,0.9
30899,箱はヘッドホンが折り畳まれポーチに包まれた状態で梱包されているのでとても小さいです。,0.7,-0.7
31025,筐体は肉厚のプラスチックと金属パーツで構成されていて折り畳み部分や回転部分のヒンジなどに強度的に不安になる点は見当たりません。,0.2,0.2
31214,装着感も悪くないですね。,0.9,0.9
31250,イヤーパッドのクッションは十分。,0.3,0.3
31298,ヘッドレストの赤い部分は気持ち幅が小さくて頭に乗っている感はありますが慣れます。,0.4,0.4
31418,音質は全体的に大人しくフラットで特に色付けはない印象。,0.5,-0.5
31499,正直、迫力はまるでないけれどクリアでボーカルも聴き取り易いです。,0.3,0.3
31595,両側に異なる大きさのジャップを備えて音声を合成できる仕様はユニークですね。,0.7,0.7
31706,ヘッドホンは大抵使い続けるとまず配線の付け根部分が断線して壊れるものなので最初から着脱式なのは安心感があっていいです。,0.9,0.9
31883,特に際立ってここが凄い!,0.9,0.9
31917,とかここはダメ!,0.8,-0.8
31939,とはなく安価ながら一通りの機能を纏め上げたのが凄い。,0.8,0.8
32017,コストパフォーマンスの高い一品です。,0.9,0.9
32071,コードが2種類ついていてコード接続用のジャックが左右についています。,0.0,0.0
32171,左右のジャックはコードのプラグの大きさが異なる物になっています。,0.1,-0.1
